epoch,loss,accuracy,auc,precision,recall,val_loss,val_accuracy,val_auc,val_precision,val_recall
1,0.0293,0.7771,0.8362,0.7383,0.5808,0.0174,0.8888,0.9586,0.9086,0.7650
2,0.0160,0.8865,0.9594,0.8440,0.8362,0.0142,0.8956,0.9677,0.8836,0.8146
3,0.0148,0.8909,0.9638,0.8480,0.8455,0.0141,0.8927,0.9685,0.8941,0.7930
4,0.0145,0.8919,0.9648,0.8460,0.8519,0.0141,0.8881,0.9698,0.9017,0.7703
5,0.0144,0.8844,0.9642,0.8344,0.8431,0.0142,0.8915,0.9671,0.8821,0.8029
6,0.0139,0.8923,0.9668,0.8454,0.8542,0.0137,0.8871,0.9709,0.9277,0.7411
7,0.0138,0.8904,0.9671,0.8398,0.8560,0.0130,0.8884,0.9721,0.9250,0.7475
8,0.0145,0.8900,0.9645,0.8440,0.8484,0.0129,0.9006,0.9719,0.8883,0.8251
9,0.0134,0.8971,0.9687,0.8547,0.8571,0.0127,0.8975,0.9727,0.8922,0.8105
10,0.0134,0.8942,0.9687,0.8543,0.8478,0.0124,0.8954,0.9723,0.8637,0.8391
11,0.0131,0.8958,0.9697,0.8537,0.8542,0.0141,0.8794,0.9684,0.9176,0.7271
12,0.0133,0.8925,0.9685,0.8503,0.8478,0.0126,0.9015,0.9727,0.8871,0.8292
13,0.0131,0.8963,0.9699,0.8527,0.8571,0.0123,0.9027,0.9739,0.8781,0.8443
14,0.0128,0.8948,0.9705,0.8484,0.8583,0.0121,0.9025,0.9743,0.8735,0.8496
15,0.0126,0.8981,0.9718,0.8538,0.8618,0.0123,0.9008,0.9733,0.8752,0.8420
16,0.0127,0.8988,0.9710,0.8557,0.8612,0.0118,0.9044,0.9747,0.8720,0.8577
17,0.0128,0.8919,0.9698,0.8440,0.8548,0.0120,0.8936,0.9730,0.8634,0.8332
18,0.0126,0.8952,0.9712,0.8478,0.8606,0.0117,0.9056,0.9751,0.8664,0.8694
19,0.0125,0.8963,0.9718,0.8547,0.8542,0.0118,0.9015,0.9753,0.8709,0.8496
20,0.0127,0.8931,0.9708,0.8469,0.8548,0.0126,0.8952,0.9723,0.8506,0.8566
21,0.0125,0.8973,0.9710,0.8511,0.8630,0.0116,0.9064,0.9755,0.8551,0.8880
22,0.0122,0.8958,0.9722,0.8477,0.8630,0.0117,0.9052,0.9757,0.8607,0.8758
23,0.0125,0.8971,0.9720,0.8466,0.8688,0.0115,0.9006,0.9750,0.8548,0.8688
24,0.0121,0.9010,0.9732,0.8534,0.8723,0.0115,0.9050,0.9760,0.8644,0.8700
25,0.0119,0.9054,0.9736,0.8617,0.8752,0.0113,0.9044,0.9757,0.8592,0.8752
26,0.0121,0.9012,0.9731,0.8559,0.8694,0.0113,0.9037,0.9752,0.8573,0.8758
27,0.0121,0.8958,0.9720,0.8449,0.8671,0.0113,0.9017,0.9754,0.8649,0.8583
28,0.0119,0.9040,0.9731,0.8518,0.8845,0.0118,0.9054,0.9753,0.8485,0.8945
29,0.0120,0.9027,0.9729,0.8509,0.8816,0.0111,0.9087,0.9765,0.8494,0.9044
30,0.0118,0.9019,0.9737,0.8474,0.8840,0.0110,0.9121,0.9765,0.8515,0.9125
31,0.0119,0.8988,0.9734,0.8457,0.8758,0.0112,0.9071,0.9754,0.8562,0.8886
32,0.0120,0.9000,0.9733,0.8435,0.8834,0.0117,0.9094,0.9751,0.8516,0.9032
33,0.0118,0.9008,0.9738,0.8549,0.8694,0.0113,0.9046,0.9761,0.8536,0.8840
34,0.0115,0.9008,0.9740,0.8431,0.8869,0.0115,0.9087,0.9764,0.8479,0.9067
35,0.0117,0.9029,0.9742,0.8451,0.8910,0.0116,0.9079,0.9759,0.8472,0.9050
36,0.0117,0.9035,0.9743,0.8496,0.8863,0.0109,0.9081,0.9768,0.8522,0.8980
37,0.0119,0.9056,0.9732,0.8516,0.8904,0.0113,0.9094,0.9757,0.8500,0.9055
38,0.0115,0.9052,0.9746,0.8427,0.9026,0.0110,0.9116,0.9772,0.8483,0.9160
39,0.0115,0.9081,0.9749,0.8515,0.8991,0.0115,0.9073,0.9766,0.8547,0.8915
40,0.0120,0.9023,0.9735,0.8411,0.8950,0.0120,0.9033,0.9744,0.8694,0.8577
41,0.0115,0.9044,0.9751,0.8604,0.8735,0.0108,0.9067,0.9770,0.8505,0.8956
42,0.0113,0.9102,0.9760,0.8527,0.9044,0.0106,0.9137,0.9781,0.8514,0.9184
43,0.0113,0.9096,0.9756,0.8544,0.8997,0.0109,0.9123,0.9774,0.8504,0.9149
44,0.0115,0.9087,0.9750,0.8483,0.9061,0.0120,0.9077,0.9763,0.8544,0.8933
45,0.0115,0.9050,0.9740,0.8415,0.9038,0.0124,0.9050,0.9757,0.8506,0.8898
46,0.0117,0.9079,0.9744,0.8487,0.9026,0.0116,0.9077,0.9766,0.8494,0.9009
47,0.0112,0.9129,0.9763,0.8572,0.9067,0.0109,0.9139,0.9785,0.8495,0.9219
48,0.0113,0.9100,0.9759,0.8476,0.9114,0.0110,0.9077,0.9773,0.8509,0.8985
49,0.0111,0.9102,0.9763,0.8504,0.9079,0.0118,0.9064,0.9763,0.8520,0.8927
50,0.0111,0.9116,0.9765,0.8525,0.9096,0.0113,0.9125,0.9777,0.8490,0.9178
